object_id,api_supplier_risk,campaign_flag,client_type,criticality,deviation_type,dosage_form,dosage_specialization,due_date,equipment_type,expiry_date,lab_id,line,line_id,market,material_type,planned_qty,plant,priority,product_code,requested_qty,sample_type,supplier_risk,uom
MAT00113,,,,,,,,,,2025-08-19T08:00:00,,,,,API,,,,,,,Medium,
MAT00114,,,,,,,,,,2024-05-10T08:00:00,,,,,API,,,,,,,High,
MAT00115,,,,,,,,,,2025-01-08T08:00:00,,,,,API,,,,,,,Medium,
MAT00116,,,,,,,,,,2024-08-03T08:00:00,,,,,API,,,,,,,Medium,
MAT00117,,,,,,,,,,2024-12-28T08:00:00,,,,,API,,,,,,,Low,
MAT00118,,,,,,,,,,2024-08-30T08:00:00,,,,,Component,,,,,,,Low,
MAT00119,,,,,,,,,,2025-02-26T08:00:00,,,,,API,,,,,,,Low,
MAT00120,,,,,,,,,,2024-12-06T08:00:00,,,,,API,,,,,,,Low,
MAT00121,,,,,,,,,,2024-09-30T08:00:00,,,,,Component,,,,,,,Low,
MAT00122,,,,,,,,,,2025-01-26T08:00:00,,,,,API,,,,,,,Low,
MAT00123,,,,,,,,,,2024-08-15T08:00:00,,,,,API,,,,,,,High,
MAT00124,,,,,,,,,,2024-12-24T08:00:00,,,,,API,,,,,,,High,
MAT00125,,,,,,,,,,2024-08-16T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00126,,,,,,,,,,2025-02-12T08:00:00,,,,,API,,,,,,,Low,
MAT00127,,,,,,,,,,2024-03-12T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00128,,,,,,,,,,2025-10-18T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00129,,,,,,,,,,2024-01-29T08:00:00,,,,,Component,,,,,,,Medium,
MAT00130,,,,,,,,,,2024-07-01T08:00:00,,,,,API,,,,,,,Medium,
MAT00131,,,,,,,,,,2024-04-21T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00132,,,,,,,,,,2024-11-17T08:00:00,,,,,Component,,,,,,,Medium,
MAT00133,,,,,,,,,,2025-01-29T08:00:00,,,,,Component,,,,,,,Low,
MAT00134,,,,,,,,,,2024-02-15T08:00:00,,,,,API,,,,,,,Medium,
MAT00135,,,,,,,,,,2025-06-16T08:00:00,,,,,Component,,,,,,,Low,
MAT00136,,,,,,,,,,2025-03-17T08:00:00,,,,,API,,,,,,,Medium,
MAT00137,,,,,,,,,,2025-09-30T08:00:00,,,,,API,,,,,,,Medium,
MAT00138,,,,,,,,,,2024-11-03T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00139,,,,,,,,,,2024-11-30T08:00:00,,,,,Excipient,,,,,,,High,
MAT00140,,,,,,,,,,2025-07-21T08:00:00,,,,,Component,,,,,,,Medium,
MAT00141,,,,,,,,,,2025-03-06T08:00:00,,,,,API,,,,,,,Low,
MAT00142,,,,,,,,,,2025-09-22T08:00:00,,,,,Component,,,,,,,Low,
MAT00143,,,,,,,,,,2025-07-15T08:00:00,,,,,Excipient,,,,,,,High,
MAT00144,,,,,,,,,,2024-10-20T08:00:00,,,,,API,,,,,,,Medium,
MAT00145,,,,,,,,,,2025-08-16T08:00:00,,,,,API,,,,,,,High,
MAT00146,,,,,,,,,,2025-03-28T08:00:00,,,,,Excipient,,,,,,,High,
MAT00147,,,,,,,,,,2025-06-07T08:00:00,,,,,Component,,,,,,,Low,
MAT00148,,,,,,,,,,2025-11-05T08:00:00,,,,,Component,,,,,,,Low,
MAT00149,,,,,,,,,,2025-06-11T08:00:00,,,,,API,,,,,,,Medium,
MAT00150,,,,,,,,,,2024-08-28T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00151,,,,,,,,,,2024-07-22T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00152,,,,,,,,,,2024-02-17T08:00:00,,,,,API,,,,,,,Low,
MAT00153,,,,,,,,,,2025-09-17T08:00:00,,,,,API,,,,,,,High,
MAT00154,,,,,,,,,,2025-02-28T08:00:00,,,,,API,,,,,,,High,
MAT00155,,,,,,,,,,2025-05-21T08:00:00,,,,,API,,,,,,,High,
MAT00156,,,,,,,,,,2024-05-31T08:00:00,,,,,Component,,,,,,,Low,
MAT00157,,,,,,,,,,2025-03-11T08:00:00,,,,,API,,,,,,,Low,
MAT00158,,,,,,,,,,2025-12-13T08:00:00,,,,,API,,,,,,,Low,
MAT00159,,,,,,,,,,2025-07-24T08:00:00,,,,,Component,,,,,,,Low,
MAT00160,,,,,,,,,,2025-04-12T08:00:00,,,,,API,,,,,,,Low,
MAT00161,,,,,,,,,,2025-11-14T08:00:00,,,,,API,,,,,,,High,
MAT00162,,,,,,,,,,2025-09-19T08:00:00,,,,,Excipient,,,,,,,High,
MAT00163,,,,,,,,,,2024-06-11T08:00:00,,,,,Component,,,,,,,High,
MAT00164,,,,,,,,,,2024-09-22T08:00:00,,,,,Component,,,,,,,High,
MAT00165,,,,,,,,,,2025-06-17T08:00:00,,,,,API,,,,,,,Medium,
MAT00166,,,,,,,,,,2024-10-08T08:00:00,,,,,Component,,,,,,,Low,
MAT00167,,,,,,,,,,2025-12-31T08:00:00,,,,,Component,,,,,,,Low,
MAT00168,,,,,,,,,,2024-10-05T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00169,,,,,,,,,,2025-07-07T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00170,,,,,,,,,,2024-06-03T08:00:00,,,,,API,,,,,,,Low,
MAT00171,,,,,,,,,,2025-12-11T08:00:00,,,,,API,,,,,,,High,
MAT00172,,,,,,,,,,2024-03-06T08:00:00,,,,,API,,,,,,,Low,
MAT00173,,,,,,,,,,2024-12-04T08:00:00,,,,,Component,,,,,,,High,
MAT00174,,,,,,,,,,2024-03-04T08:00:00,,,,,Component,,,,,,,High,
MAT00175,,,,,,,,,,2025-02-02T08:00:00,,,,,API,,,,,,,High,
MAT00176,,,,,,,,,,2025-05-03T08:00:00,,,,,API,,,,,,,High,
MAT00177,,,,,,,,,,2024-11-01T08:00:00,,,,,API,,,,,,,Medium,
MAT00178,,,,,,,,,,2025-07-05T08:00:00,,,,,Component,,,,,,,High,
MAT00179,,,,,,,,,,2024-08-12T08:00:00,,,,,API,,,,,,,High,
MAT00180,,,,,,,,,,2025-05-12T08:00:00,,,,,Excipient,,,,,,,High,
MAT00181,,,,,,,,,,2024-12-10T08:00:00,,,,,API,,,,,,,High,
MAT00182,,,,,,,,,,2025-04-23T08:00:00,,,,,Component,,,,,,,Low,
MAT00183,,,,,,,,,,2025-02-07T08:00:00,,,,,API,,,,,,,Low,
MAT00184,,,,,,,,,,2025-10-20T08:00:00,,,,,API,,,,,,,Low,
MAT00185,,,,,,,,,,2025-04-17T08:00:00,,,,,Component,,,,,,,Low,
MAT00186,,,,,,,,,,2024-09-23T08:00:00,,,,,API,,,,,,,Low,
MAT00187,,,,,,,,,,2024-08-04T08:00:00,,,,,Component,,,,,,,Medium,
MAT00188,,,,,,,,,,2024-12-11T08:00:00,,,,,Component,,,,,,,Medium,
MAT00189,,,,,,,,,,2025-03-07T08:00:00,,,,,Component,,,,,,,Medium,
MAT00190,,,,,,,,,,2025-04-26T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00191,,,,,,,,,,2024-12-24T08:00:00,,,,,API,,,,,,,Low,
MAT00192,,,,,,,,,,2025-10-29T08:00:00,,,,,API,,,,,,,Low,
MAT00193,,,,,,,,,,2024-09-10T08:00:00,,,,,API,,,,,,,Low,
MAT00194,,,,,,,,,,2025-09-28T08:00:00,,,,,API,,,,,,,Low,
MAT00195,,,,,,,,,,2024-05-09T08:00:00,,,,,API,,,,,,,Low,
MAT00196,,,,,,,,,,2025-07-31T08:00:00,,,,,Component,,,,,,,Low,
MAT00197,,,,,,,,,,2025-12-17T08:00:00,,,,,API,,,,,,,High,
MAT00198,,,,,,,,,,2024-06-20T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00199,,,,,,,,,,2024-11-14T08:00:00,,,,,API,,,,,,,Low,
MAT00200,,,,,,,,,,2024-11-15T08:00:00,,,,,API,,,,,,,Low,
MAT00201,,,,,,,,,,2024-07-22T08:00:00,,,,,Component,,,,,,,High,
MAT00202,,,,,,,,,,2024-04-14T08:00:00,,,,,API,,,,,,,Low,
MAT00203,,,,,,,,,,2025-08-02T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00204,,,,,,,,,,2025-06-29T08:00:00,,,,,API,,,,,,,Medium,
MAT00205,,,,,,,,,,2024-03-11T08:00:00,,,,,Component,,,,,,,Medium,
MAT00206,,,,,,,,,,2025-03-06T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00207,,,,,,,,,,2025-03-19T08:00:00,,,,,Component,,,,,,,Low,
MAT00208,,,,,,,,,,2025-12-25T08:00:00,,,,,Excipient,,,,,,,High,
MAT00209,,,,,,,,,,2024-06-29T08:00:00,,,,,API,,,,,,,High,
MAT00210,,,,,,,,,,2025-04-21T08:00:00,,,,,Excipient,,,,,,,High,
MAT00211,,,,,,,,,,2024-11-26T08:00:00,,,,,Component,,,,,,,Medium,
MAT00212,,,,,,,,,,2024-10-12T08:00:00,,,,,API,,,,,,,Low,
MAT00213,,,,,,,,,,2025-04-20T08:00:00,,,,,Component,,,,,,,Low,
MAT00214,,,,,,,,,,2024-01-30T08:00:00,,,,,Component,,,,,,,Medium,
MAT00215,,,,,,,,,,2024-07-05T08:00:00,,,,,Component,,,,,,,Medium,
MAT00216,,,,,,,,,,2024-12-29T08:00:00,,,,,Component,,,,,,,Low,
MAT00217,,,,,,,,,,2024-10-13T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00218,,,,,,,,,,2025-06-13T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00219,,,,,,,,,,2024-09-04T08:00:00,,,,,API,,,,,,,Low,
MAT00220,,,,,,,,,,2025-07-22T08:00:00,,,,,Component,,,,,,,High,
MAT00221,,,,,,,,,,2025-10-23T08:00:00,,,,,API,,,,,,,High,
MAT00222,,,,,,,,,,2024-01-18T08:00:00,,,,,Component,,,,,,,High,
MAT00223,,,,,,,,,,2024-08-14T08:00:00,,,,,API,,,,,,,Medium,
MAT00224,,,,,,,,,,2024-11-09T08:00:00,,,,,Component,,,,,,,Low,
MAT00225,,,,,,,,,,2025-07-20T08:00:00,,,,,Excipient,,,,,,,High,
MAT00226,,,,,,,,,,2025-07-17T08:00:00,,,,,Excipient,,,,,,,High,
MAT00227,,,,,,,,,,2025-12-20T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00228,,,,,,,,,,2024-11-09T08:00:00,,,,,Component,,,,,,,Medium,
MAT00229,,,,,,,,,,2024-05-03T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00230,,,,,,,,,,2024-05-02T08:00:00,,,,,API,,,,,,,Medium,
MAT00231,,,,,,,,,,2024-08-09T08:00:00,,,,,API,,,,,,,Low,
MAT00232,,,,,,,,,,2025-08-26T08:00:00,,,,,Component,,,,,,,Medium,
MAT00233,,,,,,,,,,2024-07-17T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00234,,,,,,,,,,2025-01-04T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00235,,,,,,,,,,2024-01-15T08:00:00,,,,,API,,,,,,,Medium,
MAT00236,,,,,,,,,,2024-02-16T08:00:00,,,,,API,,,,,,,Medium,
MAT00237,,,,,,,,,,2025-12-15T08:00:00,,,,,API,,,,,,,Medium,
MAT00238,,,,,,,,,,2024-04-15T08:00:00,,,,,API,,,,,,,High,
MAT00239,,,,,,,,,,2025-04-25T08:00:00,,,,,API,,,,,,,Medium,
MAT00240,,,,,,,,,,2024-12-14T08:00:00,,,,,Component,,,,,,,High,
MAT00241,,,,,,,,,,2024-09-15T08:00:00,,,,,API,,,,,,,Low,
MAT00242,,,,,,,,,,2024-03-07T08:00:00,,,,,Component,,,,,,,Low,
MAT00243,,,,,,,,,,2024-03-16T08:00:00,,,,,Component,,,,,,,High,
MAT00244,,,,,,,,,,2024-06-01T08:00:00,,,,,API,,,,,,,Low,
MAT00245,,,,,,,,,,2024-09-11T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00246,,,,,,,,,,2025-09-12T08:00:00,,,,,API,,,,,,,High,
MAT00247,,,,,,,,,,2025-04-06T08:00:00,,,,,API,,,,,,,High,
MAT00248,,,,,,,,,,2025-08-25T08:00:00,,,,,Component,,,,,,,Medium,
MAT00249,,,,,,,,,,2025-08-05T08:00:00,,,,,Component,,,,,,,Medium,
MAT00250,,,,,,,,,,2024-07-31T08:00:00,,,,,API,,,,,,,Low,
MAT00251,,,,,,,,,,2025-11-07T08:00:00,,,,,API,,,,,,,Medium,
MAT00252,,,,,,,,,,2024-09-02T08:00:00,,,,,API,,,,,,,Low,
MAT00253,,,,,,,,,,2024-06-09T08:00:00,,,,,API,,,,,,,Low,
MAT00254,,,,,,,,,,2025-04-06T08:00:00,,,,,API,,,,,,,High,
MAT00255,,,,,,,,,,2024-02-03T08:00:00,,,,,Component,,,,,,,Medium,
MAT00256,,,,,,,,,,2025-12-24T08:00:00,,,,,API,,,,,,,Medium,
MAT00257,,,,,,,,,,2024-03-13T08:00:00,,,,,Excipient,,,,,,,High,
MAT00258,,,,,,,,,,2025-10-02T08:00:00,,,,,API,,,,,,,Medium,
MAT00259,,,,,,,,,,2024-04-27T08:00:00,,,,,API,,,,,,,High,
MAT00260,,,,,,,,,,2024-09-29T08:00:00,,,,,API,,,,,,,Low,
MAT00261,,,,,,,,,,2024-03-02T08:00:00,,,,,API,,,,,,,Low,
MAT00262,,,,,,,,,,2025-09-01T08:00:00,,,,,API,,,,,,,Medium,
MAT00263,,,,,,,,,,2024-05-07T08:00:00,,,,,Excipient,,,,,,,High,
MAT00264,,,,,,,,,,2025-12-17T08:00:00,,,,,Component,,,,,,,Medium,
MAT00265,,,,,,,,,,2025-05-27T08:00:00,,,,,Component,,,,,,,Medium,
MAT00266,,,,,,,,,,2024-03-23T08:00:00,,,,,Component,,,,,,,High,
MAT00267,,,,,,,,,,2024-11-26T08:00:00,,,,,API,,,,,,,High,
MAT00268,,,,,,,,,,2024-04-03T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00269,,,,,,,,,,2025-11-19T08:00:00,,,,,API,,,,,,,Low,
