object_id,api_supplier_risk,campaign_flag,client_type,dosage_form,line,market,planned_qty,plant,priority,product_code,uom
BATCH00066,Medium,No,OwnBrand,Injectable,INJ1,FR,3785,PLANT_PARENTERAL,Medium,HEP5000SC,Units
BATCH00989,High,Yes,Contract,Injectable,INJ1,UK,12763,PLANT_PARENTERAL,Low,CEF1GIV,Units
BATCH00573,Medium,Yes,OwnBrand,Injectable,INJ2,FR,45127,PLANT_PARENTERAL,High,HEP5000SC,Units
BATCH00533,Low,No,OwnBrand,Capsule,CL2,IT,463187,PLANT_SOLIDS,Low,OMEP20CAP,TabletsCaps
BATCH01130,Medium,No,OwnBrand,Tablet,TL2,FR,50611,PLANT_SOLIDS,Low,IBUP400TAB,TabletsCaps
BATCH01232,Medium,No,Contract,Hormonal,HORM2,ES,33157,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH01374,Medium,No,Contract,Hormonal,HORM2,ES,13623,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH01252,Medium,No,OwnBrand,Device,DEV1,DE,33771,PLANT_SPECIAL,High,INSUPEN,Units
BATCH00640,Medium,No,OwnBrand,Device,DEV2,DE,37145,PLANT_SPECIAL,Low,INSUPEN,Units
BATCH00567,Low,No,OwnBrand,Tablet,TL1,ES,176406,PLANT_SOLIDS,High,PARA500TAB,TabletsCaps
BATCH00370,Low,No,Contract,Device,DEV1,UK,14040,PLANT_SPECIAL,Medium,INHALER,Units
BATCH00670,Medium,No,OwnBrand,Injectable,INJ1,FR,24294,PLANT_PARENTERAL,Medium,HEP5000SC,Units
BATCH00786,Low,Yes,OwnBrand,Hormonal,HORM1,PT,24445,PLANT_SPECIAL,Medium,EE30TAB,Units
BATCH00874,Medium,No,OwnBrand,Injectable,INJ2,FR,18226,PLANT_PARENTERAL,High,HEP5000SC,Units
BATCH00822,Low,No,OwnBrand,Capsule,CL1,IT,274087,PLANT_SOLIDS,Low,OMEP20CAP,TabletsCaps
BATCH00867,Low,No,Contract,Device,DEV1,UK,16923,PLANT_SPECIAL,High,INHALER,Units
BATCH01151,Medium,No,Contract,Hormonal,HORM1,ES,15133,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH01400,Low,No,OwnBrand,Tablet,TL1,ES,263110,PLANT_SOLIDS,Medium,PARA500TAB,TabletsCaps
BATCH00447,Medium,No,Contract,Hormonal,HORM1,ES,48071,PLANT_SPECIAL,High,LEVOHORMIMPL,Units
BATCH01010,Medium,No,Contract,Hormonal,HORM1,ES,46928,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH00366,Low,No,OwnBrand,Hormonal,HORM2,PT,7535,PLANT_SPECIAL,Low,EE30TAB,Units
BATCH00819,Low,No,Contract,Device,DEV1,UK,1115,PLANT_SPECIAL,Medium,INHALER,Units
BATCH00943,Low,No,OwnBrand,Tablet,TL3,ES,344782,PLANT_SOLIDS,Low,PARA500TAB,TabletsCaps
BATCH00058,Low,No,Contract,Device,DEV2,UK,2010,PLANT_SPECIAL,Low,INHALER,Units
BATCH00135,Medium,No,OwnBrand,Device,DEV1,DE,9871,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH01308,Low,No,OwnBrand,Tablet,TL2,ES,480789,PLANT_SOLIDS,High,PARA500TAB,TabletsCaps
BATCH00734,Low,No,OwnBrand,Tablet,TL3,ES,340314,PLANT_SOLIDS,Medium,PARA500TAB,TabletsCaps
BATCH00849,Low,No,OwnBrand,Hormonal,HORM1,PT,28604,PLANT_SPECIAL,Medium,EE30TAB,Units
BATCH00298,Medium,No,OwnBrand,Tablet,TL3,FR,449843,PLANT_SOLIDS,Medium,IBUP400TAB,TabletsCaps
BATCH00198,Low,No,Contract,Device,DEV2,UK,33663,PLANT_SPECIAL,Medium,INHALER,Units
BATCH00243,Low,No,Contract,Device,DEV1,UK,2725,PLANT_SPECIAL,Medium,INHALER,Units
BATCH00801,Low,Yes,OwnBrand,Capsule,CL1,IT,409467,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH00228,Medium,No,OwnBrand,Device,DEV1,DE,10198,PLANT_SPECIAL,High,INSUPEN,Units
BATCH01021,Low,No,OwnBrand,Capsule,CL2,IT,241061,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH00697,Medium,Yes,Contract,Hormonal,HORM1,ES,13241,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH00563,Medium,No,OwnBrand,Injectable,INJ1,FR,49347,PLANT_PARENTERAL,Medium,HEP5000SC,Units
BATCH01307,Medium,No,OwnBrand,Device,DEV1,DE,25524,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH01184,Low,Yes,Contract,Device,DEV1,UK,42196,PLANT_SPECIAL,Medium,INHALER,Units
BATCH01067,Medium,Yes,Contract,Hormonal,HORM2,ES,22660,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH01468,Low,No,OwnBrand,Hormonal,HORM2,PT,26903,PLANT_SPECIAL,Medium,EE30TAB,Units
BATCH01384,High,Yes,Contract,Injectable,INJ1,UK,42216,PLANT_PARENTERAL,Medium,CEF1GIV,Units
